iter	Passed	Remaining
919	4211	366
920	4215	361
921	4219	356
922	4223	352
923	4228	347
924	4232	343
925	4236	338
926	4241	333
927	4245	329
928	4249	324
929	4253	320
930	4257	315
931	4261	310
932	4265	306
933	4269	301
934	4274	297
935	4279	292
936	4283	288
937	4288	283
938	4293	278
939	4298	274
940	4302	269
941	4306	265
942	4311	260
943	4316	256
944	4320	251
945	4324	246
946	4329	242
947	4333	237
948	4337	233
949	4342	228
950	4346	223
951	4350	219
952	4354	214
953	4359	210
954	4363	205
955	4368	201
956	4372	196
957	4376	191
958	4381	187
959	4385	182
960	4389	178
961	4393	173
962	4398	168
963	4402	164
964	4407	159
965	4411	155
966	4415	150
967	4419	146
968	4424	141
969	4428	136
970	4432	132
971	4436	127
972	4440	123
973	4445	118
974	4449	114
975	4453	109
976	4458	104
977	4462	100
978	4466	95
979	4470	91
980	4474	86
981	4478	82
982	4483	77
983	4487	72
984	4491	68
985	4496	63
986	4500	59
987	4504	54
988	4509	50
989	4513	45
990	4517	41
991	4522	36
992	4526	31
993	4530	27
994	4535	22
995	4539	18
996	4543	13
997	4547	9
998	4552	4
999	4556	0
